employee_id,department,job_level,age,gender,years_at_company,manager_id,salary_range,work_arrangement,location,overall_satisfaction,work_life_balance,compensation_satisfaction,career_growth,relationship_with_manager,team_collaboration,workload_satisfaction,recognition,company_culture,training_opportunities,benefits_satisfaction,job_security,physical_workspace,tools_and_resources,communication,decision_making,innovation,diversity_inclusion,performance_review_score,promotion_last_2_years,sick_days_taken,vacation_days_taken,overtime_hours,training_hours,productivity_score,engagement_score,retention_risk,high_performer,mentor_program,survey_date
E040,Sales,Junior,26,Male,1,M012,50000-75000,Remote,Home Office,3.6,3.8,3.3,3.7,3.5,3.7,3.7,3.4,3.6,3.5,3.7,3.5,3.9,3.6,3.4,3.3,3.6,3.8,3.8,No,5,12,30,25,77,3.5,Medium,No,No,2025-01-28
E041,Finance,Senior,45,Female,12,M034,125000-150000,Office,Headquarters,4.4,3.9,4.5,4.2,4.1,4.0,3.8,4.3,4.1,3.9,4.4,4.6,4.0,4.4,4.0,4.3,3.9,4.2,4.6,Yes,1,19,55,26,89,4.5,Low,Yes,No,2025-01-28
E042,Engineering,Junior,28,Male,2,M023,50000-75000,Hybrid,Headquarters,3.9,3.8,3.6,4.2,4.0,4.3,3.8,3.7,4.1,4.4,3.9,3.7,4.0,3.9,3.8,3.6,4.3,4.1,4.1,No,3,14,40,44,82,3.9,Medium,No,Yes,2025-01-29
E043,HR,Senior,43,Female,10,M056,100000-125000,Remote,Home Office,4.5,4.6,4.2,4.4,4.6,4.7,4.5,4.4,4.6,4.3,4.5,4.4,4.7,4.2,4.6,4.4,4.1,4.8,4.6,Yes,2,22,15,40,89,4.6,Low,Yes,Yes,2025-01-29
E044,Product,Mid-level,34,Male,5,M045,75000-100000,Office,Headquarters,4.1,3.8,3.9,4.3,4.1,4.3,3.9,4.0,4.2,4.1,4.0,4.2,3.9,4.1,4.0,4.1,4.4,4.1,4.3,No,3,17,40,32,85,4.1,Medium,Yes,No,2025-01-29
E045,Customer Support,Junior,25,Female,1,M078,25000-50000,Hybrid,Headquarters,3.4,3.2,3.0,3.6,3.3,3.7,3.1,3.2,3.6,3.4,3.5,3.3,3.8,3.4,3.6,3.1,3.3,3.9,3.6,No,7,9,15,20,73,3.3,High,No,No,2025-01-30
E046,Engineering,Senior,40,Male,8,M023,125000-150000,Remote,Home Office,4.6,4.7,4.4,4.7,4.3,4.1,4.6,4.3,4.2,4.1,4.5,4.6,4.7,4.4,4.1,4.3,4.7,4.3,4.7,Yes,1,20,35,38,92,4.7,Low,Yes,Yes,2025-01-30
E047,Marketing,Mid-level,32,Female,3,M045,75000-100000,Office,Headquarters,3.8,3.6,3.6,3.9,3.7,3.9,3.5,3.6,3.8,3.7,3.8,3.7,3.6,3.7,3.6,3.5,3.8,3.9,4.0,No,4,14,25,26,81,3.8,Medium,No,No,2025-01-30
E048,Sales,Senior,46,Male,14,M012,125000-150000,Hybrid,Headquarters,4.7,4.4,4.8,4.5,4.6,4.4,4.3,4.7,4.5,4.3,4.6,4.8,4.4,4.6,4.4,4.6,4.3,4.5,4.9,Yes,1,23,65,28,93,4.8,Low,Yes,Yes,2025-01-31
E049,Finance,Junior,30,Female,2,M034,50000-75000,Remote,Home Office,3.6,3.8,3.3,3.7,3.5,3.6,3.7,3.4,3.6,3.4,3.7,3.5,3.9,3.6,3.5,3.3,3.6,3.8,3.8,No,5,13,20,24,77,3.5,Medium,No,No,2025-01-31
E050,HR,Mid-level,36,Male,6,M056,75000-100000,Office,Headquarters,4.3,4.1,4.0,4.2,4.4,4.5,4.2,4.1,4.4,4.2,4.3,4.1,4.1,4.0,4.4,4.2,4.0,4.6,4.4,No,2,18,30,35,86,4.3,Low,No,Yes,2025-01-31
