product_id,product_name,category,subcategory,brand,supplier_id,cost_price,selling_price,discount_percentage,tax_rate,stock_quantity,reorder_level,minimum_order_quantity,lead_time_days,shelf_location,warehouse_location,weight_kg,dimensions_cm,color,material,manufacturing_date,expiry_date,batch_number,barcode,sku,condition,warranty_months,return_policy,is_featured,is_seasonal,season,popularity_score,quality_score,safety_stock,economic_order_quantity,days_of_supply,turnover_rate,stockout_frequency,last_restock_date,last_sold_date,total_sales_units,total_sales_value,profit_margin,average_daily_demand,demand_variability,abc_classification
P011,Smartphone,Electronics,Mobile Devices,TechPro,S103,350.00,699.99,5.00,8.50,55,25,15,10,A05,W3-B1,0.2,15x7x1,Black,Glass,2025-02-15,,SP11080,8901234567900,TP-SP-011,New,12,30 days,Yes,No,,95,4.9,30,40,37,10.8,0.3,2025-05-18,2025-06-22,200,139998.00,50.00,5.41,0.3,A
P012,Backpack,Accessories,Bags,TravelPro,S125,30.00,59.99,10.00,8.50,70,30,20,14,G09,W7-H4,0.8,45x30x15,Navy,Polyester,2025-03-05,,BP12090,8901234567901,TR-BP-012,New,6,45 days,Yes,Yes,Back to School,80,4.5,35,45,35,10.0,0.3,2025-05-14,2025-06-21,180,10798.20,50.00,5.14,0.6,B
P013,Gaming Console,Electronics,Gaming,GameTech,S106,280.00,499.99,0.00,8.50,40,15,10,21,A10,W3-B7,3.5,35x30x10,Black,Plastic,2025-01-30,,GC13100,8901234567902,GT-GC-013,New,24,30 days,Yes,No,,93,4.8,20,25,53,5.7,0.6,2025-04-30,2025-06-19,75,37499.25,44.00,1.42,0.3,A
P014,Sunglasses,Accessories,Eyewear,StyleVue,S130,25.00,79.99,20.00,8.50,65,25,20,14,G05,W7-H2,0.1,15x5x5,Brown,Plastic,2025-02-25,,SG14110,8901234567903,SV-SG-014,New,3,30 days,Yes,Yes,Summer,75,4.4,30,40,33,12.0,0.2,2025-05-10,2025-06-23,160,12798.40,68.75,4.85,0.7,B
P015,Vacuum Cleaner,Home,Cleaning,CleanTech,S108,90.00,179.99,10.00,8.50,28,12,8,21,C08,W2-A2,5.0,40x30x25,Silver,Plastic,2025-03-20,,VC15120,8901234567904,CT-VC-015,New,24,60 days,No,No,,70,4.3,15,20,47,6.0,0.5,2025-04-25,2025-06-18,65,11699.35,50.00,1.38,0.5,B
P016,Bluetooth Speaker,Electronics,Audio,SoundMax,S105,35.00,69.99,5.00,8.50,90,35,25,7,B07,W1-C5,0.5,15x15x10,Red,Plastic,2025-01-05,,BS16130,8901234567905,SM-BS-016,New,12,30 days,Yes,No,,85,4.6,40,50,36,10.0,0.3,2025-05-16,2025-06-22,180,12598.20,50.00,5.00,0.4,B
P017,Fitness Tracker,Electronics,Wearables,ActiveLife,S112,50.00,99.99,0.00,8.50,75,30,20,14,A09,W3-B3,0.05,20x2x1,Black,Silicone,2025-02-08,,FT17140,8901234567906,AL-FT-017,New,12,30 days,Yes,No,,88,4.7,35,45,38,9.9,0.3,2025-05-12,2025-06-21,190,18998.10,50.00,5.00,0.3,A
P018,Toaster,Home,Kitchen Appliances,HomeEssentials,S108,25.00,49.99,15.00,8.50,60,25,15,14,C14,W2-A8,1.5,30x20x20,Silver,Stainless Steel,2025-03-12,,TS18150,8901234567907,HE-TS-018,New,12,30 days,No,No,,68,4.2,30,35,40,7.5,0.4,2025-05-05,2025-06-20,120,5998.80,50.00,3.00,0.6,C
P019,Winter Jacket,Apparel,Outerwear,WarmStyle,S135,80.00,199.99,25.00,8.50,45,20,15,28,D02,W4-E1,1.2,60x40x10,Green,Polyester,2025-01-18,,WJ19160,8901234567908,WS-WJ-019,New,3,45 days,Yes,Yes,Winter,80,4.5,25,30,45,6.7,0.5,2025-04-15,2025-06-10,90,17999.10,60.00,2.00,0.8,B
P020,Digital Camera,Electronics,Photography,VisionTech,S104,200.00,399.99,10.00,8.50,35,15,10,21,A07,W3-B4,0.6,12x8x6,Black,Plastic,2025-02-28,,DC20170,8901234567909,VT-DC-020,New,24,30 days,Yes,No,,82,4.6,20,25,47,5.3,0.6,2025-04-28,2025-06-17,70,27999.30,50.00,1.49,0.4,B
P021,Dining Table,Furniture,Dining,ComfortZone,S120,250.00,599.99,15.00,8.50,15,8,5,35,F05,W6-G1,35.0,150x90x75,Brown,Wood,2025-03-25,,DT21180,8901234567910,CZ-DT-021,New,36,60 days,No,No,,75,4.5,10,12,75,2.0,0.9,2025-04-10,2025-06-15,25,14999.75,58.33,0.33,0.3,C
P022,Water Bottle,Sports,Accessories,ActiveLife,S112,10.00,19.99,0.00,8.50,150,60,40,7,D10,W4-E7,0.3,25x8x8,Blue,Stainless Steel,2025-01-22,,WB22190,8901234567911,AL-WB-022,New,0,15 days,No,No,,65,4.2,70,90,38,13.2,0.1,2025-05-20,2025-06-23,250,4997.50,50.00,6.58,0.5,C
P023,Wireless Mouse,Electronics,Computer Accessories,TechPro,S103,15.00,29.99,5.00,8.50,110,45,30,10,B09,W1-C7,0.1,10x6x4,Black,Plastic,2025-02-12,,WM23200,8901234567912,TP-WM-023,New,12,30 days,No,No,,78,4.4,50,65,37,10.8,0.2,2025-05-15,2025-06-22,200,5998.00,50.00,5.41,0.4,C
P024,Slow Cooker,Home,Kitchen Appliances,HomeEssentials,S108,45.00,89.99,10.00,8.50,42,18,12,14,C16,W2-A10,4.0,35x30x25,Black,Ceramic,2025-03-18,,SC24210,8901234567913,HE-SC-024,New,24,45 days,No,No,,72,4.3,20,25,42,6.0,0.5,2025-05-02,2025-06-19,90,8099.10,50.00,2.14,0.5,C
P025,Dress Shirt,Apparel,Clothing,FormalWear,S140,30.00,59.99,15.00,8.50,80,35,25,21,D06,W4-E4,0.3,40x30x3,White,Cotton,2025-01-28,,DS25220,8901234567914,FW-DS-025,New,0,30 days,Yes,No,,70,4.3,40,50,32,12.5,0.2,2025-05-08,2025-06-21,160,9598.40,50.00,5.00,0.6,B
P026,External Hard Drive,Electronics,Storage,DataSafe,S107,60.00,119.99,5.00,8.50,65,25,15,14,B11,W1-C9,0.4,12x8x2,Black,Plastic,2025-02-18,,EH26230,8901234567915,DS-EH-026,New,24,30 days,No,No,,80,4.5,30,40,43,7.6,0.4,2025-05-10,2025-06-20,140,16798.60,50.00,3.26,0.3,B
P027,Yoga Pants,Apparel,Activewear,ActiveLife,S112,25.00,49.99,10.00,8.50,95,40,30,14,D09,W4-E6,0.3,30x20x3,Black,Spandex,2025-03-05,,YP27240,8901234567916,AL-YP-027,New,0,30 days,Yes,Yes,All Seasons,85,4.6,45,60,32,15.0,0.1,2025-05-18,2025-06-23,190,9498.10,50.00,5.94,0.5,B
P028,Microwave Oven,Home,Kitchen Appliances,HomeEssentials,S108,70.00,139.99,5.00,8.50,32,15,10,21,C18,W2-A12,12.0,50x40x30,Silver,Metal,2025-01-10,,MO28250,8901234567917,HE-MO-028,New,24,45 days,No,No,,75,4.4,18,22,43,5.3,0.6,2025-04-25,2025-06-18,75,10499.25,50.00,1.74,0.4,B
P029,Hiking Boots,Apparel,Footwear,OutdoorPro,S145,60.00,129.99,15.00,8.50,55,25,15,21,D04,W4-E3,1.2,30x20x15,Brown,Leather,2025-02-22,,HB29260,8901234567918,OP-HB-029,New,6,45 days,Yes,Yes,All Seasons,82,4.6,30,35,37,8.9,0.3,2025-05-05,2025-06-21,120,15598.80,53.85,3.24,0.6,B
P030,Desk Lamp,Home,Lighting,HomeEssentials,S108,20.00,39.99,0.00,8.50,70,30,20,14,C20,W2-A14,0.8,15x15x40,Silver,Metal,2025-03-15,,DL30270,8901234567919,HE-DL-030,New,12,30 days,No,No,,68,4.2,35,45,35,10.0,0.3,2025-05-12,2025-06-20,140,5598.60,50.00,4.00,0.5,C
P031,Tablet,Electronics,Mobile Devices,TechPro,S103,180.00,349.99,10.00,8.50,48,20,12,14,A06,W3-B2,0.5,25x18x1,Silver,Glass,2025-01-15,,TB31280,8901234567920,TP-TB-031,New,12,30 days,Yes,No,,90,4.8,25,30,40,7.2,0.4,2025-05-15,2025-06-22,120,41998.80,48.57,3.00,0.3,A
P032,Portable Charger,Electronics,Accessories,PowerUp,S109,15.00,29.99,5.00,8.50,120,50,35,7,B13,W1-C11,0.2,10x5x2,Black,Plastic,2025-02-25,,PC32290,8901234567921,PU-PC-032,New,6,30 days,No,No,,85,4.5,60,75,32,15.0,0.1,2025-05-20,2025-06-23,240,7197.60,50.00,7.50,0.4,C
P033,Ceiling Fan,Home,Appliances,HomeEssentials,S108,80.00,159.99,15.00,8.50,25,10,8,21,C22,W2-A16,5.0,60x60x30,White,Metal,2025-03-20,,CF33300,8901234567922,HE-CF-033,New,24,45 days,No,No,,70,4.3,12,15,50,3.8,0.7,2025-04-20,2025-06-15,50,7999.50,50.00,1.00,0.5,C
P034,Jeans,Apparel,Clothing,CasualStyle,S150,35.00,69.99,10.00,8.50,85,35,25,21,D07,W4-E5,0.6,30x25x3,Blue,Denim,2025-01-20,,JN34310,8901234567923,CS-JN-034,New,0,30 days,Yes,No,,80,4.5,40,50,34,12.5,0.2,2025-05-10,2025-06-22,170,11898.30,50.00,5.00,0.6,B
P035,Wireless Keyboard,Electronics,Computer Accessories,TechPro,S103,25.00,49.99,5.00,8.50,75,30,20,10,B15,W1-C13,0.5,35x15x2,Black,Plastic,2025-02-28,,WK35320,8901234567924,TP-WK-035,New,12,30 days,No,No,,75,4.4,35,45,38,9.9,0.3,2025-05-15,2025-06-21,150,7498.50,50.00,3.95,0.4,C
P036,Air Purifier,Home,Appliances,CleanTech,S108,100.00,199.99,10.00,8.50,30,12,8,21,C24,W2-A18,4.5,30x30x50,White,Plastic,2025-03-25,,AP36330,8901234567925,CT-AP-036,New,24,45 days,No,No,,78,4.5,15,20,50,4.0,0.7,2025-04-28,2025-06-18,60,11999.40,50.00,1.20,0.4,B
P037,Hiking Backpack,Sports,Outdoor,OutdoorPro,S145,50.00,99.99,5.00,8.50,60,25,15,14,D12,W4-E9,1.0,50x35x20,Green,Nylon,2025-01-25,,HB37340,8901234567926,OP-HB-037,New,6,45 days,Yes,Yes,Summer,82,4.6,30,40,40,7.5,0.4,2025-05-05,2025-06-20,120,11998.80,50.00,3.00,0.5,B
P038,Portable Speaker,Electronics,Audio,SoundMax,S105,30.00,59.99,0.00,8.50,85,35,25,7,B17,W1-C15,0.3,10x10x10,Black,Plastic,2025-02-15,,PS38350,8901234567927,SM-PS-038,New,12,30 days,Yes,No,,82,4.5,40,50,34,12.5,0.2,2025-05-18,2025-06-22,170,10198.30,50.00,5.00,0.4,B
P039,Cutting Board,Home,Kitchen,HomeEssentials,S108,15.00,29.99,10.00,8.50,90,40,25,14,C26,W2-A20,0.8,40x30x2,Brown,Wood,2025-03-10,,CB39360,8901234567928,HE-CB-039,New,0,15 days,No,No,,65,4.2,45,55,36,10.0,0.3,2025-05-12,2025-06-21,180,5398.20,50.00,5.00,0.6,C
P040,Wireless Earbuds,Electronics,Audio,SoundMax,S105,40.00,79.99,5.00,8.50,70,30,20,7,B19,W1-C17,0.1,5x5x3,White,Plastic,2025-01-30,,WE40370,8901234567929,SM-WE-040,New,12,30 days,Yes,No,,88,4.7,35,45,35,10.0,0.3,2025-05-16,2025-06-23,140,11198.60,50.00,4.00,0.3,B
P041,Throw Pillow,Home,Decor,ComfortZone,S120,12.00,24.99,15.00,8.50,110,45,30,14,F08,W6-G6,0.3,40x40x10,Blue,Cotton,2025-02-20,,TP41380,8901234567930,CZ-TP-041,New,0,30 days,No,Yes,All Seasons,70,4.3,55,70,37,10.8,0.2,2025-05-10,2025-06-22,220,5497.80,51.98,5.95,0.7,C
P042,Electric Toothbrush,Health,Personal Care,HealthPlus,S155,35.00,69.99,0.00,8.50,65,25,15,14,E09,W5-F3,0.2,20x5x5,White,Plastic,2025-03-15,,ET42390,8901234567931,HP-ET-042,New,12,30 days,No,No,,75,4.4,30,40,41,7.9,0.4,2025-05-05,2025-06-20,130,9098.70,50.00,3.17,0.4,C
P043,Desk Organizer,Office,Accessories,WorkSmart,S160,10.00,19.99,5.00,8.50,95,40,25,7,F10,W6-G8,0.5,30x20x15,Black,Plastic,2025-01-12,,DO43400,8901234567932,WS-DO-043,New,0,15 days,No,No,,65,4.2,45,60,38,10.0,0.3,2025-05-18,2025-06-21,190,3798.10,50.00,5.00,0.6,C
P044,Portable Fan,Home,Appliances,HomeEssentials,S108,18.00,34.99,10.00,8.50,75,30,20,14,C28,W2-A22,0.6,20x20x10,White,Plastic,2025-02-22,,PF44410,8901234567933,HE-PF-044,New,12,30 days,Yes,Yes,Summer,72,4.3,35,45,33,11.4,0.2,2025-05-08,2025-06-23,150,5248.50,48.56,4.55,0.5,C
P045,Resistance Bands,Sports,Fitness,ActiveLife,S112,12.00,24.99,0.00,8.50,120,50,35,10,D14,W4-E11,0.2,15x10x5,Multi,Rubber,2025-03-05,,RB45420,8901234567934,AL-RB-045,New,3,15 days,No,No,,68,4.2,60,75,32,15.0,0.1,2025-05-20,2025-06-22,240,5997.60,51.98,7.50,0.4,C
P046,Wireless Charger,Electronics,Accessories,PowerUp,S109,20.00,39.99,5.00,8.50,85,35,25,7,B21,W1-C19,0.2,10x10x1,Black,Plastic,2025-01-18,,WC46430,8901234567935,PU-WC-046,New,12,30 days,No,No,,80,4.5,40,50,34,12.5,0.2,2025-05-15,2025-06-21,170,6798.30,50.00,5.00,0.3,C
P047,Bath Towel Set,Home,Bath,HomeEssentials,S108,25.00,49.99,15.00,8.50,70,30,20,14,C30,W2-A24,1.0,60x40x10,White,Cotton,2025-02-25,,BT47440,8901234567936,HE-BT-047,New,0,30 days,No,No,,70,4.3,35,45,35,10.0,0.3,2025-05-10,2025-06-20,140,6998.60,50.00,4.00,0.6,C
P048,Bluetooth Earpiece,Electronics,Audio,SoundMax,S105,25.00,49.99,0.00,8.50,60,25,15,7,B23,W1-C21,0.05,5x3x2,Black,Plastic,2025-03-10,,BE48450,8901234567937,SM-BE-048,New,12,30 days,No,No,,75,4.4,30,35,40,7.5,0.4,2025-05-18,2025-06-22,120,5998.80,50.00,3.00,0.4,C
P049,Insulated Water Bottle,Sports,Accessories,OutdoorPro,S145,15.00,29.99,5.00,8.50,100,40,30,14,D16,W4-E13,0.4,25x8x8,Silver,Stainless Steel,2025-01-22,,IW49460,8901234567938,OP-IW-049,New,0,15 days,No,No,,78,4.5,50,60,33,15.2,0.1,2025-05-20,2025-06-23,200,5998.00,50.00,6.06,0.5,C
P050,Wireless Router,Electronics,Networking,NetConnect,S165,45.00,89
